wav,sample_id,model,speaker,model-speaker,text_prompt_id,text_prompt,zero_based_text_prompt_id,corpus
vits-p272_7_sample_0.wav,0,vits,p272,vits-p272,1235,"Sorry, sir. You have to pay by yourself.",7,dailydialog
vits-p272_7_sample_1.wav,1,vits,p272,vits-p272,1235,"Sorry, sir. You have to pay by yourself.",7,dailydialog
vits-p272_7_sample_2.wav,2,vits,p272,vits-p272,1235,"Sorry, sir. You have to pay by yourself.",7,dailydialog
vits-p272_8_sample_0.wav,0,vits,p272,vits-p272,1319,To encourage the staff increases.,8,dailydialog
vits-p272_8_sample_1.wav,1,vits,p272,vits-p272,1319,To encourage the staff increases.,8,dailydialog
vits-p272_8_sample_2.wav,2,vits,p272,vits-p272,1319,To encourage the staff increases.,8,dailydialog
vits-p272_9_sample_0.wav,0,vits,p272,vits-p272,1326,The American dollar is now worth 7. 45RMB. 35.,9,dailydialog
vits-p272_9_sample_1.wav,1,vits,p272,vits-p272,1326,The American dollar is now worth 7. 45RMB. 35.,9,dailydialog
vits-p272_9_sample_2.wav,2,vits,p272,vits-p272,1326,The American dollar is now worth 7. 45RMB. 35.,9,dailydialog
vits-p286_0_sample_0.wav,0,vits,p286,vits-p286,98,"He was such a big boy that he wore high boots and carried a jack knife. He gazed and gazed at the cap, and could not keep from fingering the blue tassel.",0,libritts
vits-p286_0_sample_1.wav,1,vits,p286,vits-p286,98,"He was such a big boy that he wore high boots and carried a jack knife. He gazed and gazed at the cap, and could not keep from fingering the blue tassel.",0,libritts
vits-p286_0_sample_2.wav,2,vits,p286,vits-p286,98,"He was such a big boy that he wore high boots and carried a jack knife. He gazed and gazed at the cap, and could not keep from fingering the blue tassel.",0,libritts
vits-p286_1_sample_0.wav,0,vits,p286,vits-p286,315,"""Has she any brains?"" asked Ojo.",1,libritts
vits-p286_1_sample_1.wav,1,vits,p286,vits-p286,315,"""Has she any brains?"" asked Ojo.",1,libritts
vits-p286_1_sample_2.wav,2,vits,p286,vits-p286,315,"""Has she any brains?"" asked Ojo.",1,libritts
vits-p286_2_sample_0.wav,0,vits,p286,vits-p286,329,"He would say good night, but not good bye.",2,libritts
vits-p286_2_sample_1.wav,1,vits,p286,vits-p286,329,"He would say good night, but not good bye.",2,libritts
vits-p286_2_sample_2.wav,2,vits,p286,vits-p286,329,"He would say good night, but not good bye.",2,libritts
vits-p286_3_sample_0.wav,0,vits,p286,vits-p286,811,I haven't seen you around for a few days.,3,dailydialog
vits-p286_3_sample_1.wav,1,vits,p286,vits-p286,811,I haven't seen you around for a few days.,3,dailydialog
vits-p286_3_sample_2.wav,2,vits,p286,vits-p286,811,I haven't seen you around for a few days.,3,dailydialog
vits-p286_4_sample_0.wav,0,vits,p286,vits-p286,849,"Here's the money, keep the changes, please.",4,dailydialog
vits-p286_4_sample_1.wav,1,vits,p286,vits-p286,849,"Here's the money, keep the changes, please.",4,dailydialog
vits-p286_4_sample_2.wav,2,vits,p286,vits-p286,849,"Here's the money, keep the changes, please.",4,dailydialog
vits-p286_5_sample_0.wav,0,vits,p286,vits-p286,1067,Who ate the cookies that were sitting here?,5,dailydialog
vits-p286_5_sample_1.wav,1,vits,p286,vits-p286,1067,Who ate the cookies that were sitting here?,5,dailydialog
vits-p286_5_sample_2.wav,2,vits,p286,vits-p286,1067,Who ate the cookies that were sitting here?,5,dailydialog
vits-p286_6_sample_0.wav,0,vits,p286,vits-p286,1225,"Tom, it's time for you to go to bed.",6,dailydialog
vits-p286_6_sample_1.wav,1,vits,p286,vits-p286,1225,"Tom, it's time for you to go to bed.",6,dailydialog
vits-p286_6_sample_2.wav,2,vits,p286,vits-p286,1225,"Tom, it's time for you to go to bed.",6,dailydialog
vits-p286_7_sample_0.wav,0,vits,p286,vits-p286,1235,"Sorry, sir. You have to pay by yourself.",7,dailydialog
vits-p286_7_sample_1.wav,1,vits,p286,vits-p286,1235,"Sorry, sir. You have to pay by yourself.",7,dailydialog
vits-p286_7_sample_2.wav,2,vits,p286,vits-p286,1235,"Sorry, sir. You have to pay by yourself.",7,dailydialog
vits-p286_8_sample_0.wav,0,vits,p286,vits-p286,1319,To encourage the staff increases.,8,dailydialog
vits-p286_8_sample_1.wav,1,vits,p286,vits-p286,1319,To encourage the staff increases.,8,dailydialog
vits-p286_8_sample_2.wav,2,vits,p286,vits-p286,1319,To encourage the staff increases.,8,dailydialog
vits-p286_9_sample_0.wav,0,vits,p286,vits-p286,1326,The American dollar is now worth 7. 45RMB. 35.,9,dailydialog
vits-p286_9_sample_1.wav,1,vits,p286,vits-p286,1326,The American dollar is now worth 7. 45RMB. 35.,9,dailydialog
vits-p286_9_sample_2.wav,2,vits,p286,vits-p286,1326,The American dollar is now worth 7. 45RMB. 35.,9,dailydialog
vits-p241_0_sample_0.wav,0,vits,p241,vits-p241,98,"He was such a big boy that he wore high boots and carried a jack knife. He gazed and gazed at the cap, and could not keep from fingering the blue tassel.",0,libritts
vits-p241_0_sample_1.wav,1,vits,p241,vits-p241,98,"He was such a big boy that he wore high boots and carried a jack knife. He gazed and gazed at the cap, and could not keep from fingering the blue tassel.",0,libritts
vits-p241_0_sample_2.wav,2,vits,p241,vits-p241,98,"He was such a big boy that he wore high boots and carried a jack knife. He gazed and gazed at the cap, and could not keep from fingering the blue tassel.",0,libritts
vits-p241_1_sample_0.wav,0,vits,p241,vits-p241,315,"""Has she any brains?"" asked Ojo.",1,libritts
vits-p241_1_sample_1.wav,1,vits,p241,vits-p241,315,"""Has she any brains?"" asked Ojo.",1,libritts
vits-p241_1_sample_2.wav,2,vits,p241,vits-p241,315,"""Has she any brains?"" asked Ojo.",1,libritts
vits-p241_2_sample_0.wav,0,vits,p241,vits-p241,329,"He would say good night, but not good bye.",2,libritts
vits-p241_2_sample_1.wav,1,vits,p241,vits-p241,329,"He would say good night, but not good bye.",2,libritts
vits-p241_2_sample_2.wav,2,vits,p241,vits-p241,329,"He would say good night, but not good bye.",2,libritts
vits-p241_3_sample_0.wav,0,vits,p241,vits-p241,811,I haven't seen you around for a few days.,3,dailydialog
vits-p241_3_sample_1.wav,1,vits,p241,vits-p241,811,I haven't seen you around for a few days.,3,dailydialog
vits-p241_3_sample_2.wav,2,vits,p241,vits-p241,811,I haven't seen you around for a few days.,3,dailydialog
vits-p241_4_sample_0.wav,0,vits,p241,vits-p241,849,"Here's the money, keep the changes, please.",4,dailydialog
vits-p241_4_sample_1.wav,1,vits,p241,vits-p241,849,"Here's the money, keep the changes, please.",4,dailydialog
vits-p241_4_sample_2.wav,2,vits,p241,vits-p241,849,"Here's the money, keep the changes, please.",4,dailydialog
vits-p241_5_sample_0.wav,0,vits,p241,vits-p241,1067,Who ate the cookies that were sitting here?,5,dailydialog
vits-p241_5_sample_1.wav,1,vits,p241,vits-p241,1067,Who ate the cookies that were sitting here?,5,dailydialog
vits-p241_5_sample_2.wav,2,vits,p241,vits-p241,1067,Who ate the cookies that were sitting here?,5,dailydialog
vits-p241_6_sample_0.wav,0,vits,p241,vits-p241,1225,"Tom, it's time for you to go to bed.",6,dailydialog
vits-p241_6_sample_1.wav,1,vits,p241,vits-p241,1225,"Tom, it's time for you to go to bed.",6,dailydialog
vits-p241_6_sample_2.wav,2,vits,p241,vits-p241,1225,"Tom, it's time for you to go to bed.",6,dailydialog
vits-p241_7_sample_0.wav,0,vits,p241,vits-p241,1235,"Sorry, sir. You have to pay by yourself.",7,dailydialog
vits-p241_7_sample_1.wav,1,vits,p241,vits-p241,1235,"Sorry, sir. You have to pay by yourself.",7,dailydialog
vits-p241_7_sample_2.wav,2,vits,p241,vits-p241,1235,"Sorry, sir. You have to pay by yourself.",7,dailydialog
vits-p241_8_sample_0.wav,0,vits,p241,vits-p241,1319,To encourage the staff increases.,8,dailydialog
vits-p241_8_sample_1.wav,1,vits,p241,vits-p241,1319,To encourage the staff increases.,8,dailydialog
vits-p241_8_sample_2.wav,2,vits,p241,vits-p241,1319,To encourage the staff increases.,8,dailydialog
vits-p241_9_sample_0.wav,0,vits,p241,vits-p241,1326,The American dollar is now worth 7. 45RMB. 35.,9,dailydialog
vits-p241_9_sample_1.wav,1,vits,p241,vits-p241,1326,The American dollar is now worth 7. 45RMB. 35.,9,dailydialog
vits-p241_9_sample_2.wav,2,vits,p241,vits-p241,1326,The American dollar is now worth 7. 45RMB. 35.,9,dailydialog
vits-p376_0_sample_0.wav,0,vits,p376,vits-p376,98,"He was such a big boy that he wore high boots and carried a jack knife. He gazed and gazed at the cap, and could not keep from fingering the blue tassel.",0,libritts
vits-p376_0_sample_1.wav,1,vits,p376,vits-p376,98,"He was such a big boy that he wore high boots and carried a jack knife. He gazed and gazed at the cap, and could not keep from fingering the blue tassel.",0,libritts
vits-p376_0_sample_2.wav,2,vits,p376,vits-p376,98,"He was such a big boy that he wore high boots and carried a jack knife. He gazed and gazed at the cap, and could not keep from fingering the blue tassel.",0,libritts
vits-p376_1_sample_0.wav,0,vits,p376,vits-p376,315,"""Has she any brains?"" asked Ojo.",1,libritts
vits-p376_1_sample_1.wav,1,vits,p376,vits-p376,315,"""Has she any brains?"" asked Ojo.",1,libritts
vits-p376_1_sample_2.wav,2,vits,p376,vits-p376,315,"""Has she any brains?"" asked Ojo.",1,libritts
vits-p376_2_sample_0.wav,0,vits,p376,vits-p376,329,"He would say good night, but not good bye.",2,libritts
vits-p376_2_sample_1.wav,1,vits,p376,vits-p376,329,"He would say good night, but not good bye.",2,libritts
vits-p376_2_sample_2.wav,2,vits,p376,vits-p376,329,"He would say good night, but not good bye.",2,libritts
vits-p376_3_sample_0.wav,0,vits,p376,vits-p376,811,I haven't seen you around for a few days.,3,dailydialog
vits-p376_3_sample_1.wav,1,vits,p376,vits-p376,811,I haven't seen you around for a few days.,3,dailydialog
vits-p376_3_sample_2.wav,2,vits,p376,vits-p376,811,I haven't seen you around for a few days.,3,dailydialog
vits-p376_4_sample_0.wav,0,vits,p376,vits-p376,849,"Here's the money, keep the changes, please.",4,dailydialog
vits-p376_4_sample_1.wav,1,vits,p376,vits-p376,849,"Here's the money, keep the changes, please.",4,dailydialog
vits-p376_4_sample_2.wav,2,vits,p376,vits-p376,849,"Here's the money, keep the changes, please.",4,dailydialog
vits-p376_5_sample_0.wav,0,vits,p376,vits-p376,1067,Who ate the cookies that were sitting here?,5,dailydialog
vits-p376_5_sample_1.wav,1,vits,p376,vits-p376,1067,Who ate the cookies that were sitting here?,5,dailydialog
vits-p376_5_sample_2.wav,2,vits,p376,vits-p376,1067,Who ate the cookies that were sitting here?,5,dailydialog
vits-p376_6_sample_0.wav,0,vits,p376,vits-p376,1225,"Tom, it's time for you to go to bed.",6,dailydialog
vits-p376_6_sample_1.wav,1,vits,p376,vits-p376,1225,"Tom, it's time for you to go to bed.",6,dailydialog
vits-p376_6_sample_2.wav,2,vits,p376,vits-p376,1225,"Tom, it's time for you to go to bed.",6,dailydialog
vits-p376_7_sample_0.wav,0,vits,p376,vits-p376,1235,"Sorry, sir. You have to pay by yourself.",7,dailydialog
vits-p376_7_sample_1.wav,1,vits,p376,vits-p376,1235,"Sorry, sir. You have to pay by yourself.",7,dailydialog
vits-p376_7_sample_2.wav,2,vits,p376,vits-p376,1235,"Sorry, sir. You have to pay by yourself.",7,dailydialog
vits-p376_8_sample_0.wav,0,vits,p376,vits-p376,1319,To encourage the staff increases.,8,dailydialog
vits-p376_8_sample_1.wav,1,vits,p376,vits-p376,1319,To encourage the staff increases.,8,dailydialog
vits-p376_8_sample_2.wav,2,vits,p376,vits-p376,1319,To encourage the staff increases.,8,dailydialog
vits-p376_9_sample_0.wav,0,vits,p376,vits-p376,1326,The American dollar is now worth 7. 45RMB. 35.,9,dailydialog
vits-p376_9_sample_1.wav,1,vits,p376,vits-p376,1326,The American dollar is now worth 7. 45RMB. 35.,9,dailydialog
vits-p376_9_sample_2.wav,2,vits,p376,vits-p376,1326,The American dollar is now worth 7. 45RMB. 35.,9,dailydialog
vits-p301_0_sample_0.wav,0,vits,p301,vits-p301,98,"He was such a big boy that he wore high boots and carried a jack knife. He gazed and gazed at the cap, and could not keep from fingering the blue tassel.",0,libritts
vits-p301_0_sample_1.wav,1,vits,p301,vits-p301,98,"He was such a big boy that he wore high boots and carried a jack knife. He gazed and gazed at the cap, and could not keep from fingering the blue tassel.",0,libritts
vits-p301_0_sample_2.wav,2,vits,p301,vits-p301,98,"He was such a big boy that he wore high boots and carried a jack knife. He gazed and gazed at the cap, and could not keep from fingering the blue tassel.",0,libritts
vits-p301_1_sample_0.wav,0,vits,p301,vits-p301,315,"""Has she any brains?"" asked Ojo.",1,libritts
vits-p301_1_sample_1.wav,1,vits,p301,vits-p301,315,"""Has she any brains?"" asked Ojo.",1,libritts
vits-p301_1_sample_2.wav,2,vits,p301,vits-p301,315,"""Has she any brains?"" asked Ojo.",1,libritts
vits-p301_2_sample_0.wav,0,vits,p301,vits-p301,329,"He would say good night, but not good bye.",2,libritts
vits-p301_2_sample_1.wav,1,vits,p301,vits-p301,329,"He would say good night, but not good bye.",2,libritts
vits-p301_2_sample_2.wav,2,vits,p301,vits-p301,329,"He would say good night, but not good bye.",2,libritts
vits-p301_3_sample_0.wav,0,vits,p301,vits-p301,811,I haven't seen you around for a few days.,3,dailydialog
vits-p301_3_sample_1.wav,1,vits,p301,vits-p301,811,I haven't seen you around for a few days.,3,dailydialog
vits-p301_3_sample_2.wav,2,vits,p301,vits-p301,811,I haven't seen you around for a few days.,3,dailydialog
vits-p301_4_sample_0.wav,0,vits,p301,vits-p301,849,"Here's the money, keep the changes, please.",4,dailydialog
vits-p301_4_sample_1.wav,1,vits,p301,vits-p301,849,"Here's the money, keep the changes, please.",4,dailydialog
vits-p301_4_sample_2.wav,2,vits,p301,vits-p301,849,"Here's the money, keep the changes, please.",4,dailydialog
vits-p301_5_sample_0.wav,0,vits,p301,vits-p301,1067,Who ate the cookies that were sitting here?,5,dailydialog
vits-p301_5_sample_1.wav,1,vits,p301,vits-p301,1067,Who ate the cookies that were sitting here?,5,dailydialog
vits-p301_5_sample_2.wav,2,vits,p301,vits-p301,1067,Who ate the cookies that were sitting here?,5,dailydialog
vits-p301_6_sample_0.wav,0,vits,p301,vits-p301,1225,"Tom, it's time for you to go to bed.",6,dailydialog
vits-p301_6_sample_1.wav,1,vits,p301,vits-p301,1225,"Tom, it's time for you to go to bed.",6,dailydialog
vits-p301_6_sample_2.wav,2,vits,p301,vits-p301,1225,"Tom, it's time for you to go to bed.",6,dailydialog
vits-p301_7_sample_0.wav,0,vits,p301,vits-p301,1235,"Sorry, sir. You have to pay by yourself.",7,dailydialog
vits-p301_7_sample_1.wav,1,vits,p301,vits-p301,1235,"Sorry, sir. You have to pay by yourself.",7,dailydialog
vits-p301_7_sample_2.wav,2,vits,p301,vits-p301,1235,"Sorry, sir. You have to pay by yourself.",7,dailydialog
vits-p301_8_sample_0.wav,0,vits,p301,vits-p301,1319,To encourage the staff increases.,8,dailydialog
vits-p301_8_sample_1.wav,1,vits,p301,vits-p301,1319,To encourage the staff increases.,8,dailydialog
vits-p301_8_sample_2.wav,2,vits,p301,vits-p301,1319,To encourage the staff increases.,8,dailydialog
vits-p301_9_sample_0.wav,0,vits,p301,vits-p301,1326,The American dollar is now worth 7. 45RMB. 35.,9,dailydialog
vits-p301_9_sample_1.wav,1,vits,p301,vits-p301,1326,The American dollar is now worth 7. 45RMB. 35.,9,dailydialog
vits-p301_9_sample_2.wav,2,vits,p301,vits-p301,1326,The American dollar is now worth 7. 45RMB. 35.,9,dailydialog
vits-p231_0_sample_0.wav,0,vits,p231,vits-p231,98,"He was such a big boy that he wore high boots and carried a jack knife. He gazed and gazed at the cap, and could not keep from fingering the blue tassel.",0,libritts
vits-p231_0_sample_1.wav,1,vits,p231,vits-p231,98,"He was such a big boy that he wore high boots and carried a jack knife. He gazed and gazed at the cap, and could not keep from fingering the blue tassel.",0,libritts
vits-p231_0_sample_2.wav,2,vits,p231,vits-p231,98,"He was such a big boy that he wore high boots and carried a jack knife. He gazed and gazed at the cap, and could not keep from fingering the blue tassel.",0,libritts
vits-p231_1_sample_0.wav,0,vits,p231,vits-p231,315,"""Has she any brains?"" asked Ojo.",1,libritts
vits-p231_1_sample_1.wav,1,vits,p231,vits-p231,315,"""Has she any brains?"" asked Ojo.",1,libritts
vits-p231_1_sample_2.wav,2,vits,p231,vits-p231,315,"""Has she any brains?"" asked Ojo.",1,libritts
vits-p231_2_sample_0.wav,0,vits,p231,vits-p231,329,"He would say good night, but not good bye.",2,libritts
vits-p231_2_sample_1.wav,1,vits,p231,vits-p231,329,"He would say good night, but not good bye.",2,libritts
vits-p231_2_sample_2.wav,2,vits,p231,vits-p231,329,"He would say good night, but not good bye.",2,libritts
vits-p231_3_sample_0.wav,0,vits,p231,vits-p231,811,I haven't seen you around for a few days.,3,dailydialog
vits-p231_3_sample_1.wav,1,vits,p231,vits-p231,811,I haven't seen you around for a few days.,3,dailydialog
vits-p231_3_sample_2.wav,2,vits,p231,vits-p231,811,I haven't seen you around for a few days.,3,dailydialog
vits-p231_4_sample_0.wav,0,vits,p231,vits-p231,849,"Here's the money, keep the changes, please.",4,dailydialog
vits-p231_4_sample_1.wav,1,vits,p231,vits-p231,849,"Here's the money, keep the changes, please.",4,dailydialog
vits-p231_4_sample_2.wav,2,vits,p231,vits-p231,849,"Here's the money, keep the changes, please.",4,dailydialog
vits-p231_5_sample_0.wav,0,vits,p231,vits-p231,1067,Who ate the cookies that were sitting here?,5,dailydialog
vits-p231_5_sample_1.wav,1,vits,p231,vits-p231,1067,Who ate the cookies that were sitting here?,5,dailydialog
vits-p231_5_sample_2.wav,2,vits,p231,vits-p231,1067,Who ate the cookies that were sitting here?,5,dailydialog
vits-p231_6_sample_0.wav,0,vits,p231,vits-p231,1225,"Tom, it's time for you to go to bed.",6,dailydialog
vits-p231_6_sample_1.wav,1,vits,p231,vits-p231,1225,"Tom, it's time for you to go to bed.",6,dailydialog
vits-p231_6_sample_2.wav,2,vits,p231,vits-p231,1225,"Tom, it's time for you to go to bed.",6,dailydialog
vits-p231_7_sample_0.wav,0,vits,p231,vits-p231,1235,"Sorry, sir. You have to pay by yourself.",7,dailydialog
vits-p231_7_sample_1.wav,1,vits,p231,vits-p231,1235,"Sorry, sir. You have to pay by yourself.",7,dailydialog
vits-p231_7_sample_2.wav,2,vits,p231,vits-p231,1235,"Sorry, sir. You have to pay by yourself.",7,dailydialog
vits-p231_8_sample_0.wav,0,vits,p231,vits-p231,1319,To encourage the staff increases.,8,dailydialog
vits-p231_8_sample_1.wav,1,vits,p231,vits-p231,1319,To encourage the staff increases.,8,dailydialog
vits-p231_8_sample_2.wav,2,vits,p231,vits-p231,1319,To encourage the staff increases.,8,dailydialog
vits-p231_9_sample_0.wav,0,vits,p231,vits-p231,1326,The American dollar is now worth 7. 45RMB. 35.,9,dailydialog
vits-p231_9_sample_1.wav,1,vits,p231,vits-p231,1326,The American dollar is now worth 7. 45RMB. 35.,9,dailydialog
vits-p231_9_sample_2.wav,2,vits,p231,vits-p231,1326,The American dollar is now worth 7. 45RMB. 35.,9,dailydialog
vits-p293_0_sample_0.wav,0,vits,p293,vits-p293,98,"He was such a big boy that he wore high boots and carried a jack knife. He gazed and gazed at the cap, and could not keep from fingering the blue tassel.",0,libritts
vits-p293_0_sample_1.wav,1,vits,p293,vits-p293,98,"He was such a big boy that he wore high boots and carried a jack knife. He gazed and gazed at the cap, and could not keep from fingering the blue tassel.",0,libritts
vits-p293_0_sample_2.wav,2,vits,p293,vits-p293,98,"He was such a big boy that he wore high boots and carried a jack knife. He gazed and gazed at the cap, and could not keep from fingering the blue tassel.",0,libritts
vits-p293_1_sample_0.wav,0,vits,p293,vits-p293,315,"""Has she any brains?"" asked Ojo.",1,libritts
vits-p293_1_sample_1.wav,1,vits,p293,vits-p293,315,"""Has she any brains?"" asked Ojo.",1,libritts
vits-p293_1_sample_2.wav,2,vits,p293,vits-p293,315,"""Has she any brains?"" asked Ojo.",1,libritts
vits-p293_2_sample_0.wav,0,vits,p293,vits-p293,329,"He would say good night, but not good bye.",2,libritts
vits-p293_2_sample_1.wav,1,vits,p293,vits-p293,329,"He would say good night, but not good bye.",2,libritts
vits-p293_2_sample_2.wav,2,vits,p293,vits-p293,329,"He would say good night, but not good bye.",2,libritts
vits-p293_3_sample_0.wav,0,vits,p293,vits-p293,811,I haven't seen you around for a few days.,3,dailydialog
vits-p293_3_sample_1.wav,1,vits,p293,vits-p293,811,I haven't seen you around for a few days.,3,dailydialog
vits-p293_3_sample_2.wav,2,vits,p293,vits-p293,811,I haven't seen you around for a few days.,3,dailydialog
vits-p293_4_sample_0.wav,0,vits,p293,vits-p293,849,"Here's the money, keep the changes, please.",4,dailydialog
vits-p293_4_sample_1.wav,1,vits,p293,vits-p293,849,"Here's the money, keep the changes, please.",4,dailydialog
vits-p293_4_sample_2.wav,2,vits,p293,vits-p293,849,"Here's the money, keep the changes, please.",4,dailydialog
vits-p293_5_sample_0.wav,0,vits,p293,vits-p293,1067,Who ate the cookies that were sitting here?,5,dailydialog
vits-p293_5_sample_1.wav,1,vits,p293,vits-p293,1067,Who ate the cookies that were sitting here?,5,dailydialog
vits-p293_5_sample_2.wav,2,vits,p293,vits-p293,1067,Who ate the cookies that were sitting here?,5,dailydialog
vits-p293_6_sample_0.wav,0,vits,p293,vits-p293,1225,"Tom, it's time for you to go to bed.",6,dailydialog
vits-p293_6_sample_1.wav,1,vits,p293,vits-p293,1225,"Tom, it's time for you to go to bed.",6,dailydialog
vits-p293_6_sample_2.wav,2,vits,p293,vits-p293,1225,"Tom, it's time for you to go to bed.",6,dailydialog
vits-p293_7_sample_0.wav,0,vits,p293,vits-p293,1235,"Sorry, sir. You have to pay by yourself.",7,dailydialog
vits-p293_7_sample_1.wav,1,vits,p293,vits-p293,1235,"Sorry, sir. You have to pay by yourself.",7,dailydialog
vits-p293_7_sample_2.wav,2,vits,p293,vits-p293,1235,"Sorry, sir. You have to pay by yourself.",7,dailydialog
vits-p293_8_sample_0.wav,0,vits,p293,vits-p293,1319,To encourage the staff increases.,8,dailydialog
vits-p293_8_sample_1.wav,1,vits,p293,vits-p293,1319,To encourage the staff increases.,8,dailydialog
vits-p293_8_sample_2.wav,2,vits,p293,vits-p293,1319,To encourage the staff increases.,8,dailydialog
vits-p293_9_sample_0.wav,0,vits,p293,vits-p293,1326,The American dollar is now worth 7. 45RMB. 35.,9,dailydialog
vits-p293_9_sample_1.wav,1,vits,p293,vits-p293,1326,The American dollar is now worth 7. 45RMB. 35.,9,dailydialog
vits-p293_9_sample_2.wav,2,vits,p293,vits-p293,1326,The American dollar is now worth 7. 45RMB. 35.,9,dailydialog
vits-p333_0_sample_0.wav,0,vits,p333,vits-p333,98,"He was such a big boy that he wore high boots and carried a jack knife. He gazed and gazed at the cap, and could not keep from fingering the blue tassel.",0,libritts
vits-p333_0_sample_1.wav,1,vits,p333,vits-p333,98,"He was such a big boy that he wore high boots and carried a jack knife. He gazed and gazed at the cap, and could not keep from fingering the blue tassel.",0,libritts
vits-p333_0_sample_2.wav,2,vits,p333,vits-p333,98,"He was such a big boy that he wore high boots and carried a jack knife. He gazed and gazed at the cap, and could not keep from fingering the blue tassel.",0,libritts
vits-p333_1_sample_0.wav,0,vits,p333,vits-p333,315,"""Has she any brains?"" asked Ojo.",1,libritts
vits-p333_1_sample_1.wav,1,vits,p333,vits-p333,315,"""Has she any brains?"" asked Ojo.",1,libritts
vits-p333_1_sample_2.wav,2,vits,p333,vits-p333,315,"""Has she any brains?"" asked Ojo.",1,libritts
vits-p333_2_sample_0.wav,0,vits,p333,vits-p333,329,"He would say good night, but not good bye.",2,libritts
vits-p333_2_sample_1.wav,1,vits,p333,vits-p333,329,"He would say good night, but not good bye.",2,libritts
vits-p333_2_sample_2.wav,2,vits,p333,vits-p333,329,"He would say good night, but not good bye.",2,libritts
vits-p333_3_sample_0.wav,0,vits,p333,vits-p333,811,I haven't seen you around for a few days.,3,dailydialog
vits-p333_3_sample_1.wav,1,vits,p333,vits-p333,811,I haven't seen you around for a few days.,3,dailydialog
vits-p333_3_sample_2.wav,2,vits,p333,vits-p333,811,I haven't seen you around for a few days.,3,dailydialog
vits-p333_4_sample_0.wav,0,vits,p333,vits-p333,849,"Here's the money, keep the changes, please.",4,dailydialog
vits-p333_4_sample_1.wav,1,vits,p333,vits-p333,849,"Here's the money, keep the changes, please.",4,dailydialog
vits-p333_4_sample_2.wav,2,vits,p333,vits-p333,849,"Here's the money, keep the changes, please.",4,dailydialog
vits-p333_5_sample_0.wav,0,vits,p333,vits-p333,1067,Who ate the cookies that were sitting here?,5,dailydialog
vits-p333_5_sample_1.wav,1,vits,p333,vits-p333,1067,Who ate the cookies that were sitting here?,5,dailydialog
vits-p333_5_sample_2.wav,2,vits,p333,vits-p333,1067,Who ate the cookies that were sitting here?,5,dailydialog
vits-p333_6_sample_0.wav,0,vits,p333,vits-p333,1225,"Tom, it's time for you to go to bed.",6,dailydialog
vits-p333_6_sample_1.wav,1,vits,p333,vits-p333,1225,"Tom, it's time for you to go to bed.",6,dailydialog
